brand,name,detail_url,concentration,main_accords,top_notes,middle_notes,base_notes,description,notes_score,season_score,day_night_score,gender,sizes
킬리안,굿걸 곤 배드 오 드 퍼퓸 리필,https://www.bysuco.com/product/show/225395,오 드 퍼퓸,플로랄 화이트 플로랄 프루티,오스만투스 자스민 로즈,튜베로즈 나르시소스,앰버 시더,바람에 흩날리는 꽃의 향이 순수하지만 동시에 유혹적인 바이브를 전달하는 관능적인 향,white floral(100.0) / woody(78.2) / yellow floral(73.3) / tuberose(72.4) / vanilla(59.6) / sweet(57.6) / rose(56.0) / powdery(50.4) / animalic(49.7),winter(28.2) / spring(33.4) / summer(4.9) / fall(70.1),day(88.3) / night(46.1),Female,[50]
킬리안,굿걸 곤 배드 오 드 퍼퓸 익스트림,https://www.bysuco.com/product/show/225397,오 드 퍼퓸,화이트 플로랄 흘로랄 락토닉,오스만투스 자스민 메이로즈,튜베로즈 밀크 어코드,앰버 화이트 시더,꽃과 감미로운 우뮤빛이 감싸는 매우 화려한 향,white floral(100.0) / floral(91.9) / lactonic(88.3) / tuberose(81.8) / fruity(79.5) / yellow floral(59.0) / green(55.0) / animalic(52.2) / amber(52.0) / soft spicy(48.8),winter(18.1) / spring(14.3) / summer(3.3) / fall(70.0),day(100.0) / night(67.3),Unisex,[50]
킬리안,굿걸 곤 배드 오 드 퍼퓸 트래블 세트,https://www.bysuco.com/product/show/225396,오 드 퍼퓸,플로랄 화이트 플로랄 프루티,오스만투스 자스민 로즈,튜베로즈 나르시소스,앰버 시더,바람에 흩날리는 꽃의 향이 순수하지만 동시에 유혹적인 바이브를 전달하는 관능적인 향,white floral(100.0) / woody(78.2) / yellow floral(73.3) / tuberose(72.4) / vanilla(59.6) / sweet(57.6) / rose(56.0) / powdery(50.4) / animalic(49.7),winter(28.2) / spring(33.4) / summer(4.9) / fall(70.1),day(88.3) / night(46.1),Female,[30]
킬리안,굿걸 곤 배드 오 프레쉬 오 드 퍼퓸,https://www.bysuco.com/product/show/225400,오 드 퍼퓸,화이트 플로랄 아쿠아틱 머스키,오렌지 블라섬 터키쉬 로즈,워터리 노트 자스민,머스크,세가지 꽃의 향이 선사하는 궁극의 화려한 향,white floral(100.0) / aquatic(66.2) / musky(55.4) / fresh(53.9) / tuberose(51.6) / citrus(49.7) / floral(48.2) / rose(47.9) / animalic(46.1),winter(47.5) / spring(40.3) / summer(15.1) / fall(29.8),day(100.0) / night(92.7),Female,[50]
킬리안,굿걸 곤 배드 오 프레쉬 오 드 퍼퓸 리필,https://www.bysuco.com/product/show/225401,오 드 퍼퓸,화이트 플로랄 아쿠아틱 머스키,오렌지 블라섬 터키쉬 로즈,워터리 노트 자스민,머스크,세가지 꽃의 향이 선사하는 궁극의 화려한 향,white floral(100.0) / aquatic(66.2) / musky(55.4) / fresh(53.9) / tuberose(51.6) / citrus(49.7) / floral(48.2) / rose(47.9) / animalic(46.1),winter(47.5) / spring(40.3) / summer(15.1) / fall(29.8),day(100.0) / night(92.7),Female,[100]
킬리안,다크 로드 오 드 퍼퓸,https://www.bysuco.com/product/show/225432,오 드 퍼퓸,우디 레더 아로마틱,페퍼 베르가못,럼 자스민 삼박 다바나,레더 베티버 시이프리올 오일 나가르모타 시더 패출리,가죽과 강한 베티버의 우아한 조화,woody(100.0) / leather(85.1) / aromatic(70.5) / earthy(70.0) / fresh spicy(62.8) / animalic(55.5) / white floral(51.9) / green(50.0) / smoky(49.8) / citrus(48.6),winter(14.5) / spring(28.7) / summer(11.2) / fall(99.5),day(36.1) / night(12.7),Unisex,[50]
킬리안,러브 돈 비 샤이 오 드 퍼퓸,https://www.bysuco.com/product/show/22799,오 드 퍼퓸,스위트 화이트 플로랄 바닐라,네롤리 베르가못 핑크 페퍼 코리안더,오렌지 블라썸 허니서클 자스민 아이리스 로즈,슈가 바닐라 카라멜 머스크 시벳 랍다넘,사랑이라는 마술 속으로의 이끌림을 표현한 향,white floral(100.0) / sweet(80.3) / musky(76.9) / powdery(73.0) / citrus(55.4) / soft spicy(52.8) / aromatic(46.4),winter(15.2) / spring(18.2) / summer(24.2) / fall(79.2),day(83.3) / night(70.8),Unisex,[50]
킬리안,러브 오 프레쉬 오 드 퍼퓸,https://www.bysuco.com/product/show/225414,오 드 퍼퓸,플로랄 화이트 플로랄 스위트,네롤리 페티그레인,자스민 피오니 프리지아,마쉬멜로우 화이트 머스크,슈가 어코드의 달콤함으로 부드럽게 퍼지는 관능미,woody(100.0) / vanilla(93.3) / aromatic(82.0) / soft spicy(80.8) / fruity(75.0) / green(74.4) / floral(70.3) / patchouli(69.1) / rose(68.9) / earthy(63.0),winter(19.1) / spring(50.6) / summer(4.5) / fall(85.5),day(56.5) / night(30.8),Female,[50]
킬리안,러브 익스트림 오 드 퍼퓸,https://www.bysuco.com/product/show/225412,오 드 퍼퓸,스위트 화이트 플로랄 시트러스,네롤리 베르가못,오렌지 블라섬 불가리안 로즈,마쉬멜로우 바닐라 머스크 포메그란트,유쾌한 마시멜로우 어코드가 선사하는 숭고한 꽃향기,warm spicy(100.0) / musky(91.6) / amber(86.0) / soft spicy(72.0) / powdery(67.8) / rose(63.6) / sweet(60.8) / cherry(58.0) / violet(58.0) / patchouli(58.0),winter(20.0) / spring(60.0) / summer(100.0) / fall(50.0),day(75.0) / night(100.0),Female,[50]
킬리안,로즈 온 아이스 오 드 퍼퓸,https://www.bysuco.com/product/show/10519,오 드 퍼퓸,아쿠아틱 아로마틱,큐컴버 주니퍼 베리 라임,로즈,머스크 샌달우드,어둠이 내려앉은 밤부터 동이 틀 때까지 취하게 만들어주는 술 한잔의 향,ozonic(100.0) / aquatic(86.0) / aromatic(67.1) / green(66.1) / woody(61.1) / rose(59.7) / fresh spicy(57.1) / citrus(56.2) / musky(54.6) / powdery(46.1),winter(56.2) / spring(52.2) / summer(21.2) / fall(20.7),day(92.3) / night(100.0),Unisex,[50]
킬리안,로즈 온 아이스 오 드 퍼퓸 리필,https://www.bysuco.com/product/show/225380,오 드 퍼퓸,아쿠아틱 아로마틱,큐컴버 주니퍼 베리 라임,로즈,머스크 샌달우드,핸드릭스 온 더 락스가 떠오르는 진과 오이 장미의 적절한 조화가 보이는 향,ozonic(100.0) / aquatic(86.0) / aromatic(67.2) / green(66.1) / woody(61.1) / rose(59.7) / fresh spicy(57.2) / citrus(56.2) / musky(54.5) / powdery(46.0),winter(56.0) / spring(52.3) / summer(21.4) / fall(20.7),day(92.5) / night(100.0),Female,[50]
킬리안,롤링 인 러브 오 드 퍼퓸,https://www.bysuco.com/product/show/10532,오 드 퍼퓸,아몬드 바닐라 플로랄,아몬드 밀크 암브레트,아이리스 프리지아,튜베로즈 바닐라 통카 빈 머스크,사랑이 너무 커서 괴로움을 느낄 정도의 폭발적인 감정을 보여주는 머스크 향,vanilla(100.0)/almond(98.1307)/floral(95.9253)/powdery(83.3017)/sweet(82.3218)/musky(81.1807)/tuberose(74.6232)/nutty(69.6949)/iris(67.9619)/fruity(66.2478),winter(86.6352) / spring(78.2233) / summer(39.7013) / fall(100),day(79.0094) / night(79.7956),Unisex,[50]
킬리안,머스크 우드 오 드 퍼퓸,https://www.bysuco.com/product/show/225434,오 드 퍼퓸,아로마틱 로즈 오우드,레몬 카다멈 코리앤더,불가리안 로즈 제라늄 사이프러스 아르테미지아,아가우드 머스크 럼 인센스 패출리,따뜻한 스파이시가 만들어내는 독특하고 매혹적인 향,woody(100.0) / musky(80.1) / powdery(72.1) / citrus(68.1) / aromatic(59.3) / lavender(58.1) / fresh spicy(57.5),winter(5.6) / spring(66.7) / summer(0.0) / fall(90.9),day(18.2) / night(27.3),Unisex,[50]
