perfume_name,notes_score,season_score,day_night_score
Straight to Heaven,woody(100.0) / patchouli(63.0) / rum(53.7) / warm spicy(52.6) / powdery(50.1) / fresh spicy(46.8) / fruity(44.7),winter(21.8) / spring(26.4) / summer(5.3) / fall(88.2),day(58.9) / night(25.4)
Grey Vetiver,woody(100.0) / aromatic(81.4) / earthy(76.5) / citrus(64.0) / fresh spicy(48.2) / mossy(44.6),winter(10.8) / spring(14.0) / summer(1.5) / fall(23.8),day(98.6) / night(88.5)
Eau de Magnolia,citrus(100.0) / floral(87.5) / woody(76.4) / earthy(62.5) / aromatic(62.3) / fresh spicy(52.4) / mossy(50.9),winter(28.3) / spring(23.9) / summer(1.3) / fall(11.1),day(100.0) / night(88.7)
Eau de Mineral,marine(100.0) / aromatic(66.7) / salty(66.5) / aquatic(57.7) / oud(55.8),winter(32.9) / spring(25.0) / summer(18.8) / fall(51.7),day(98.8) / night(100.0)
Acne Studios by Frederic Malle,aldehydic(100.0) / fresh(79.4) / powdery(76.3) / woody(69.6) / white floral(64.5) / fruity(59.2) / soapy(58.2) / amber(58.0) / musky(57.2) / sweet(53.1),winter(37.4) / spring(30.8) / summer(15.6) / fall(35.9),day(100.0) / night(86.5)
Arancia di Capri,citrus(100.0) / musky(57.5) / amber(47.9) / fresh spicy(45.4) / fruity(43.2),winter(33.3) / spring(9.1) / summer(3.0) / fall(0.0),day(74.4) / night(100.0)
Osmanthus,fruity(100.0) / floral(79.2) / powdery(62.5) / lactonic(58.6) / musky(54.6) / citrus(52.0) / white floral(49.9) / soft spicy(48.5) / sweet(44.1),winter(34.7) / spring(13.2) / summer(2.6) / fall(16.6),day(100.0) / night(97.2)
Tam Dao,woody(100.0) / powdery(58.7) / warm spicy(46.9) / aromatic(46.0) / amber(43.0),winter(30.1) / spring(17.2) / summer(4.0) / fall(72.7),day(68.9) / night(39.6)
Sailing Day,marine(100.0) / aromatic(86.3) / aldehydic(60.9) / aquatic(59.8) / woody(56.5) / fresh(54.5) / amber(51.0) / salty(50.2),winter(51.4) / spring(38.5) / summer(7.3) / fall(4.3),day(44.6) / night(100.0)
Soleil Blanc,white floral(100.0) / coconut(95.7) / sweet(88.6) / tuberose(77.5) / amber(76.5) / yellow floral(73.7) / vanilla(68.9) / woody(63.9) / warm spicy(62.4) / citrus(55.2),winter(26.6) / spring(21.5) / summer(4.5) / fall(11.4),day(45.6) / night(100.0)
Bleu de Chanel,citrus(100.0) / amber(90.9) / woody(75.0) / fresh spicy(70.4) / aromatic(61.8) / warm spicy(52.4) / smoky(50.8) / fresh(50.1) / balsamic(49.4) / powdery(44.3),winter(9.5) / spring(7.9) / summer(2.0) / fall(76.3),day(100.0) / night(95.3)
Bay 19,citrus(100.0) / fresh spicy(85.1) / aromatic(69.4) / woody(61.0) / vanilla(60.6) / sweet(59.8) / yellow floral(47.5),winter(0.0) / spring(100.0) / summer(0.0) / fall(0.0),day(0.0) / night(0.0)
Love in White,floral(100.0) / citrus(91.1) / yellow floral(67.8) / white floral(64.1) / powdery(61.3) / iris(60.3) / sweet(59.1) / savory(58.2) / green(53.6) / woody(53.2),winter(25.5) / spring(64.4) / summer(7.4) / fall(26.8),day(96.0) / night(70.1)
Eben Fume,woody(100.0) / amber(80.1) / smoky(55.1) / balsamic(53.2) / warm spicy(49.4) / fresh spicy(48.2) / aromatic(45.3) / leather(44.8),winter(29.2) / spring(16.4) / summer(5.7) / fall(99.4),day(28.9) / night(12.5)
Millesium Imperial,marine(100.0) / citrus(94.2) / salty(89.6) / fruity(82.4) / aromatic(73.9) / sweet(59.1) / powdery(58.9) / musky(58.7) / woody(53.3) / iris(50.5),winter(13.7) / spring(16.8) / summer(2.2) / fall(10.4),day(78.4) / night(100.0)
Kaminar,marine(100.0) / floral(92.9) / mineral(78.2) / aquatic(77.2) / salty(76.7) / fresh(65.4),winter(11.9) / spring(19.0) / summer(4.8) / fall(15.6),day(46.9) / night(100.0)
34th Avenue Saint-Germain,leather(100.0) / soft spicy(67.0) / animalic(63.0) / sweet(53.1) / cherry(49.8) / smoky(49.8) / musky(45.8) / white floral(45.8),winter(66.7) / spring(66.7) / summer(66.7) / fall(66.7),day(33.3) / night(0.0)
Lys 41,white floral(100.0) / tuberose(58.4) / animalic(46.3) / vanilla(44.8) / soft spicy(40.5),winter(21.2) / spring(18.0) / summer(3.0) / fall(28.9),day(100.0) / night(80.7)
Noir de Noir,earthy(100.0) / rose(91.0) / patchouli(75.6) / warm spicy(73.7) / vanilla(63.3) / woody(62.6) / oud(60.1) / floral(56.4) / balsamic(48.7) / mossy(47.5),winter(8.2) / spring(14.0) / summer(1.8) / fall(96.0),day(31.1) / night(15.8)
