perfume_name,notes_score,season_score,day_night_score
Silver Birch and Lavender,leather(100.0) / lavender(100.0) / smoky(86.0) / white floral(72.0) / woody(58.0) / aromatic(58.0) / fresh spicy(51.0) / sweet(49.6) / fruity(49.6) / floral(46.8),winter(50.0) / spring(50.0) / summer(0.0) / fall(16.7),day(66.7) / night(83.3)
Eau Navati,amber(100.0) / citrus(97.0) / herbal(96.5) / green(93.8) / woody(91.1) / balsamic(79.1) / sweet(74.3) / warm spicy(68.0) / aromatic(62.2) / fresh spicy(61.7),winter(46.8) / spring(20.7) / summer(9.0) / fall(52.6),day(80.0) / night(60.0)
La Femme Prada,powdery(100.0) / iris(87.7) / violet(83.7) / woody(77.8) / fresh spicy(64.6) / warm spicy(60.6) / aromatic(57.8) / earthy(57.2) / amber(54.4) / floral(49.3),winter(8.2) / spring(7.7) / summer(1.5) / fall(41.5),day(100.0) / night(86.0)
Man Wood Essence,woody(100.0) / aromatic(77.7) / citrus(75.2) / amber(54.9) / fresh spicy(47.0),winter(27.9) / spring(26.4) / summer(4.0) / fall(44.0),day(99.1) / night(55.7)
Aqua Celestia,green(100.0) / citrus(76.8) / musky(61.0) / aromatic(59.8) / powdery(58.5) / fresh spicy(54.9) / fruity(50.5) / floral(50.2) / yellow floral(49.6) / sweet(47.3),winter(34.3) / spring(26.9) / summer(4.2) / fall(7.0),day(91.3) / night(100.0)
Aqua Allegoria Rosa Pallisandro Forte,woody(100.0) / rose(82.3) / aromatic(76.3) / warm spicy(63.5) / fresh spicy(55.6) / balsamic(50.1) / herbal(47.6) / amber(45.5) / powdery(45.2) / patchouli(44.2),winter(45.2) / spring(65.6) / summer(17.8) / fall(73.2),day(93.9) / night(57.9)
Silver Birch & Lavender,lavender(100.0) / woody(80.1) / leather(71.6) / aromatic(63.9) / smoky(63.3) / fresh spicy(59.8) / citrus(59.4),winter(40.4) / spring(26.1) / summer(4.5) / fall(31.1),day(100.0) / night(76.7)
J'adore,white floral(100.0) / floral(87.0) / fruity(82.2) / sweet(64.7) / fresh(63.9) / aquatic(55.1) / citrus(54.8) / powdery(51.3) / ozonic(46.8) / tuberose(46.8),winter(16.1) / spring(49.7) / summer(3.9) / fall(47.4),day(92.5) / night(54.9)
Renaissance,fruity(100.0) / aromatic(58.0) / soft spicy(54.5) / vanilla(54.5) / woody(51.0) / green(50.0) / floral(49.2) / amber(47.5),winter(25.0) / spring(12.5) / summer(12.5) / fall(40.0),day(100.0) / night(90.0)
Dune Pour Homme,woody(100.0) / green(95.2) / aromatic(82.6) / fruity(70.7) / fresh(70.4) / sweet(67.9) / soft spicy(55.2) / powdery(54.7) / vanilla(51.5) / herbal(50.8),winter(10.8) / spring(19.9) / summer(1.7) / fall(17.9),day(88.7) / night(90.3)
Win Ple de Cassie,powdery(100.0) / woody(93.8) / violet(87.0) / yellow floral(78.5) / ozonic(61.1) / vanilla(60.1) / aromatic(59.3) / sweet(57.6) / floral(57.4) / green(55.7),winter(6.0) / spring(68.0) / summer(0.0) / fall(72.2),day(82.5) / night(48.5)
For Her Musk Nude,white floral(100.0) / musky(85.4) / powdery(57.2) / rose(56.8) / sweet(55.7) / vanilla(49.5) / animalic(48.8) / woody(47.0),winter(44.1) / spring(37.2) / summer(13.4) / fall(66.2),day(100.0) / night(64.0)
Chloe,floral(100.0) / rose(87.0) / fresh(69.5) / fruity(45.1) / white floral(44.4),winter(17.3) / spring(41.5) / summer(3.7) / fall(35.2),day(93.0) / night(56.9)
Green Almond & Redcurrant Cologne,fruity(100.0) / citrus(96.0) / almond(85.5) / fresh(84.2) / sweet(74.8) / nutty(63.3) / soft spicy(55.4) / sour(49.0) / vanilla(44.8),winter(71.4) / spring(32.1) / summer(7.1) / fall(60.0),day(85.7) / night(54.3)
No. 5 Twist & Spray Refill Set,fruity(100.0) / rose(83.6) / sweet(78.1) / soft spicy(70.2) / floral(67.1) / musky(52.0) / warm spicy(51.5) / vanilla(50.6) / fresh(48.9) / patchouli(48.0),winter(12.9) / spring(35.8) / summer(2.2) / fall(60.1),day(79.0) / night(39.1)
L'Eau Réves d'Elias,white floral(100.0) / citrus(58.0) / musky(58.0) / powdery(44.0) / animalic(41.2),winter(0.0) / spring(0.0) / summer(0.0) / fall(0.0),day(0.0) / night(0.0)
Iris (Medici Garden Collection),powdery(100.0) / iris(99.7) / musky(86.3) / white floral(77.6) / earthy(67.0) / violet(64.9) / citrus(62.2) / woody(58.3) / patchouli(52.8) / fresh(48.6),winter(8.3) / spring(27.8) / summer(0.0) / fall(7.4),day(100.0) / night(51.9)
Man in Black,woody(100.0) / aromatic(81.3) / amber(76.7) / vanilla(62.7) / warm spicy(62.7) / powdery(59.2) / musky(53.3) / sweet(52.2) / soft spicy(45.2),winter(50.0) / spring(50.0) / summer(0.0) / fall(0.0),day(0.0) / night(100.0)
Dior Homme Sport,citrus(100.0) / aromatic(70.5) / woody(63.0) / fresh spicy(57.2) / amber(54.2) / aldehydic(51.9) / fresh(49.3) / soft spicy(44.3),winter(15.2) / spring(7.0) / summer(3.3) / fall(21.3),day(95.0) / night(100.0)
Bronze Goddess Eau Fresh,white floral(100.0) / citrus(77.8) / coconut(74.4) / tuberose(71.0) / amber(62.4) / sweet(54.1) / green(54.1) / animalic(50.3) / tropical(50.1) / lactonic(49.0),winter(25.6) / spring(14.0) / summer(14.0) / fall(14.8),day(64.8) / night(100.0)
Opium,amber(100.0) / balsamic(61.5) / sweet(54.8) / warm spicy(50.8) / citrus(48.2) / white floral(46.3) / patchouli(44.2),winter(9.4) / spring(46.7) / summer(7.6) / fall(95.1),day(20.9) / night(18.3)
No. 5 Refill Portable Spray,green(100.0) / woody(69.5) / white floral(67.2) / yellow floral(63.9) / aromatic(63.7) / iris(60.9) / earthy(53.8) / powdery(53.0) / fresh(52.9) / rose(51.9),winter(11.2) / spring(28.6) / summer(2.0) / fall(36.8),day(100.0) / night(57.5)
Issia La Nuit,woody(100.0) / animalic(60.8) / ozonic(53.1) / aquatic(49.8) / floral(47.5) / musky(47.3) / warm spicy(46.7) / honey(45.1) / sweet(44.2),winter(80.2) / spring(100.0) / summer(26.0) / fall(68.4),day(34.6) / night(20.3)
Cur Moresque,woody(100.0) / honey(95.2) / leather(86.8) / smoky(83.0) / powdery(75.7) / warm spicy(73.8) / amber(70.5) / balsamic(70.0) / sweet(68.8) / animalic(64.9),winter(17.5) / spring(15.0) / summer(3.8) / fall(86.8),day(36.8) / night(17.6)
Cie Passion Eclat,woody(100.0) / earthy(78.1) / warm spicy(63.3) / green(60.0) / powdery(58.4) / mossy(57.7) / aromatic(57.4) / white floral(55.4) / floral(53.8) / fresh(52.6),winter(0.0) / spring(11.8) / summer(0.0) / fall(61.5),day(92.3) / night(61.5)
E.Q.,aromatic(100.0) / woody(99.1) / warm spicy(72.9) / fresh spicy(64.4) / earthy(64.2) / citrus(62.9) / floral(62.8) / mossy(57.6) / balsamic(50.3) / sweet(49.8),winter(6.5) / spring(16.4) / summer(0.8) / fall(65.1),day(64.4) / night(37.2)
No. 5 Perfume Refill,powdery(100.0) / woody(96.6) / aldehydic(85.2) / fresh(81.0) / iris(80.7) / white floral(77.8) / musky(74.9) / earthy(74.4) / citrus(67.0) / yellow floral(66.0),winter(3.9) / spring(84.0) / summer(3.9) / fall(89.5),day(46.1) / night(27.1)
Miss Dior Roller Pearl,floral(100.0) / rose(99.3) / citrus(77.9) / fresh(72.9) / fruity(62.9) / powdery(53.7) / musky(51.5) / sweet(45.5),winter(19.7) / spring(9.3) / summer(0.5) / fall(16.9),day(100.0) / night(77.8)
Champs-Élysées,floral(100.0) / yellow floral(72.9) / powdery(61.1) / woody(59.8) / green(58.6) / sweet(46.0),winter(43.8) / spring(23.3) / summer(7.5) / fall(31.1),day(100.0) / night(67.7)
Knowing,woody(100.0) / earthy(85.2) / powdery(77.0) / white floral(75.5) / warm spicy(75.3) / aromatic(71.6) / mossy(70.9) / aldehydic(61.0) / musky(60.4) / animalic(58.8),winter(9.1) / spring(37.5) / summer(3.6) / fall(82.6),day(42.2) / night(22.5)
Zagara,citrus(100.0) / aromatic(47.7) / green(47.7) / fresh(44.4) / fresh spicy(43.6),winter(20.6) / spring(10.3) / summer(2.9) / fall(9.3),day(76.3) / night(100.0)
Armani Code,iris(100.0) / aromatic(87.6) / powdery(81.5) / woody(78.9) / citrus(78.4) / vanilla(59.7) / earthy(58.0) / aldehydic(56.5) / violet(54.2) / fresh spicy(53.2),winter(15.6) / spring(5.4) / summer(2.1) / fall(93.8),day(93.5) / night(53.7)
Atelier des Fleurs Narcissus Poeticus,yellow floral(100.0) / green(73.8) / aromatic(47.5) / balsamic(43.1) / tobacco(41.4),winter(59.4) / spring(31.2) / summer(6.2) / fall(12.5),day(100.0) / night(70.8)
Allure Sensual,woody(100.0) / warm spicy(85.0) / powdery(77.1) / amber(56.5) / aromatic(52.7) / balsamic(50.9) / vanilla(49.9) / iris(44.9),winter(48.0) / spring(40.0) / summer(12.0) / fall(97.3),day(62.2) / night(32.4)
Bergamot,citrus(100.0) / aromatic(65.9) / woody(59.7) / fresh spicy(56.7) / white floral(47.0),winter(26.3) / spring(12.6) / summer(4.0) / fall(10.4),day(81.7) / night(100.0)
Bouquet de Ongri,fresh spicy(100.0) / patchouli(83.0) / woody(68.9) / balsamic(67.1) / amber(61.8) / sweet(60.1) / warm spicy(56.5) / leather(51.2) / earthy(51.2) / floral(50.2),winter(0.0) / spring(0.0) / summer(0.0) / fall(100.0),day(50.0) / night(25.0)
My Way Perfume,woody(100.0) / aromatic(93.7) / cherry(79.2) / fresh spicy(76.2) / leather(72.4) / balsamic(69.4) / warm spicy(64.7) / sweet(56.0) / earthy(54.1) / animalic(51.2),winter(10.0) / spring(25.0) / summer(5.0) / fall(100.0),day(40.0) / night(33.3)
Crystal,,winter(45.7) / spring(22.9) / summer(25.7) / fall(84.2),day(50.0) / night(31.6)
Patchouli,woody(100.0) / patchouli(74.1) / warm spicy(67.0) / aromatic(62.2) / earthy(59.0) / nutty(53.6) / green(52.9) / balsamic(52.6) / cacao(50.9),winter(54.0) / spring(42.0) / summer(12.9) / fall(74.2),day(63.8) / night(24.2)
Honeysuckle Anne Davana Gift Package,white floral(100.0) / aromatic(70.5) / green(66.0) / fruity(65.0) / mossy(64.2) / rose(56.9) / earthy(53.9) / yellow floral(51.0) / balsamic(48.0),winter(40.1) / spring(36.5) / summer(5.4) / fall(22.5),day(100.0) / night(76.1)
Amiris Homme,aromatic(100.0) / woody(89.7) / citrus(73.2) / sweet(63.8) / vanilla(63.3) / iris(61.4) / fresh spicy(55.4) / balsamic(53.7) / warm spicy(53.0) / amber(50.4),winter(21.5) / spring(19.2) / summer(2.3) / fall(29.5),day(100.0) / night(89.3)
Eau de Basilic Poufre,citrus(100.0) / white floral(67.1) / fresh spicy(58.3) / aromatic(57.7) / powdery(55.9) / woody(50.4) / musky(48.5) / green(48.3) / animalic(45.8),winter(13.0) / spring(0.0) / summer(4.3) / fall(0.0),day(60.0) / night(100.0)
Chloe Lumines,vanilla(100.0) / white floral(92.4) / amber(83.1) / rose(79.4) / powdery(59.0) / floral(57.3) / sweet(44.0),winter(44.6) / spring(24.3) / summer(4.6) / fall(46.0),day(97.6) / night(67.2)
Cie Passion,woody(100.0) / earthy(78.1) / warm spicy(63.3) / green(60.0) / powdery(58.4) / mossy(57.7) / aromatic(57.4) / white floral(55.4) / floral(53.8) / fresh(52.6),winter(0.0) / spring(11.8) / summer(0.0) / fall(61.5),day(92.3) / night(61.5)
Emme.A.,fruity(100.0) / citrus(94.3) / floral(83.6) / white floral(72.4) / fresh(65.4) / fresh spicy(65.0) / powdery(63.2) / lactonic(60.8) / aromatic(51.6) / musky(51.2),winter(45.5) / spring(27.3) / summer(0.0) / fall(30.8),day(100.0) / night(61.5)
Lavanda Imperiale,lavender(100.0) / aromatic(66.5) / fresh spicy(65.2) / citrus(58.3) / green(57.8) / yellow floral(50.0) / fresh(47.5) / herbal(45.4),winter(20.0) / spring(13.3) / summer(3.3) / fall(25.0),day(100.0) / night(81.2)
Aqua Allegoria Florabloom,powdery(100.0) / tuberose(91.8) / tropical(91.0) / sweet(90.9) / fruity(87.8) / white floral(79.4) / violet(74.1) / woody(71.5) / musky(71.1) / coconut(68.0),winter(36.3) / spring(26.8) / summer(8.5) / fall(22.4),day(100.0) / night(88.7)
Hundred Silent Ways Extra de Parfum,white floral(100.0) / vanilla(78.4) / powdery(71.9) / woody(63.8) / tuberose(62.1) / fruity(53.8) / sweet(50.1) / iris(46.0) / animalic(45.7) / citrus(44.5),winter(26.6) / spring(13.6) / summer(2.9) / fall(88.3),day(85.7) / night(49.4)
Black Opium Extreme,warm spicy(100.0) / coffee(80.2) / vanilla(74.1) / cacao(73.8) / white floral(68.9) / patchouli(57.2) / sweet(53.2) / woody(46.3) / balsamic(44.8),winter(32.0) / spring(17.1) / summer(6.4) / fall(100.0),day(23.2) / night(10.4)
Coco Refill,white floral(100.0) / vanilla(80.4) / coconut(73.1) / citrus(72.3) / sweet(64.5) / lactonic(45.1),winter(80.6) / spring(59.7) / summer(4.8) / fall(20.4),day(90.7) / night(100.0)
Fumerie Türk,sweet(100.0) / tobacco(85.4) / honey(80.0) / vanilla(71.6) / amber(66.1) / woody(60.0) / patchouli(60.0) / aromatic(58.9) / floral(57.4) / leather(55.3),winter(6.8) / spring(19.2) / summer(1.2) / fall(93.8),day(17.3) / night(13.9)
Eau d'Orange Berthe,citrus(100.0) / powdery(75.4) / white floral(71.1) / sweet(68.5) / floral(67.5) / fruity(54.6) / vanilla(54.2) / woody(48.7) / musky(47.7) / almond(47.3),winter(16.7) / spring(32.1) / summer(1.5) / fall(21.8),day(100.0) / night(56.8)
Je.A.,fresh spicy(100.0) / citrus(87.8) / aromatic(76.7) / amber(74.9) / fresh(55.2) / musky(48.9) / aquatic(46.4) / herbal(45.7),winter(14.2) / spring(6.6) / summer(5.0) / fall(19.1),day(93.5) / night(100.0)
Italian Leather,aromatic(100.0) / amber(93.9) / leather(81.0) / green(78.4) / vanilla(75.0) / powdery(68.7) / balsamic(65.9) / fresh spicy(61.9) / animalic(56.3) / sweet(55.0),winter(20.9) / spring(25.8) / summer(5.4) / fall(74.5),day(57.1) / night(25.5)
Guilty Pour Homme,citrus(100.0) / lavender(82.7) / woody(77.3) / white floral(69.4) / aromatic(69.2) / patchouli(57.8) / sweet(47.6) / vanilla(45.9) / fresh spicy(45.8),winter(22.0) / spring(46.4) / summer(2.1) / fall(31.1),day(100.0) / night(83.8)
Solaris,white floral(100.0) / woody(68.1) / citrus(62.3) / fruity(57.4) / sweet(56.3) / yellow floral(55.5) / vanilla(54.4) / floral(46.3) / powdery(46.2) / aromatic(45.3),winter(39.3) / spring(17.2) / summer(2.8) / fall(9.1),day(70.4) / night(100.0)
Mughetto,white floral(100.0) / fresh(72.0) / green(58.0) / soapy(44.0) / floral(40.5),winter(18.8) / spring(12.5) / summer(43.8) / fall(14.3),day(100.0) / night(64.3)
English Pear & Sweet Pea Special Edition,floral(100.0) / musky(87.4) / sweet(82.4) / powdery(58.7) / honey(45.6),winter(49.0) / spring(18.4) / summer(2.6) / fall(14.7),day(100.0) / night(76.3)
Jasmine 17 (Bulk),white floral(100.0) / vanilla(100.0) / fruity(76.7) / sweet(67.3) / citrus(65.0) / powdery(62.7) / woody(60.3) / aromatic(55.7) / animalic(54.5) / musky(53.3),winter(33.3) / spring(0.0) / summer(33.3) / fall(33.3),day(100.0) / night(100.0)
Idol,fruity(100.0) / sweet(58.3) / fresh(51.7) / woody(47.2) / tropical(46.7),winter(50.0) / spring(0.0) / summer(0.0) / fall(33.3),day(100.0) / night(100.0)
Poison,fruity(100.0) / sweet(96.6) / amber(93.9) / white floral(87.8) / woody(85.0) / warm spicy(79.5) / tuberose(70.4) / balsamic(70.2) / floral(65.6) / honey(63.4),winter(6.5) / spring(47.5) / summer(4.6) / fall(90.1),day(21.7) / night(13.7)
Pew d'Espagne,citrus(100.0) / floral(80.8) / sweet(63.8) / powdery(61.5) / yellow floral(61.5) / fresh spicy(52.8) / green(49.2),winter(0.0) / spring(0.0) / summer(0.0) / fall(0.0),day(0.0) / night(0.0)
Portrait Changing Constance,caramel(100.0) / vanilla(84.7) / sweet(79.6) / warm spicy(71.1) / powdery(60.0) / salty(54.3) / tobacco(51.4) / aromatic(50.0) / woody(48.1) / musky(45.9),winter(18.7) / spring(7.7) / summer(2.2) / fall(94.8),day(30.3) / night(14.4)
Gentleman Reserve Privé,woody(100.0) / iris(80.3) / whiskey(70.6) / powdery(64.9) / amber(64.0) / violet(55.1) / warm spicy(52.9) / earthy(50.1) / nutty(47.8),winter(10.2) / spring(6.3) / summer(2.9) / fall(100.0),day(30.2) / night(10.7)
Aqua Allegoria Flora Salvage,fresh(100.0) / aquatic(97.2) / violet(80.0) / powdery(77.7) / floral(75.4) / ozonic(56.5) / iris(49.2) / musky(45.8) / white floral(45.6) / herbal(44.8),winter(41.8) / spring(28.1) / summer(2.2) / fall(9.0),day(90.4) / night(100.0)
Gold Night Refill,nutty(100.0) / yellow floral(100.0) / woody(100.0) / musky(95.1) / tuberose(93.0) / sweet(91.6) / white floral(87.4) / powdery(67.8) / animalic(58.7) / rose(51.0),winter(12.5) / spring(0.0) / summer(0.0) / fall(28.6),day(42.9) / night(100.0)
Miss Dior Original,earthy(100.0) / green(95.9) / mossy(94.2) / patchouli(92.6) / rose(90.9) / woody(86.8) / white floral(69.5) / balsamic(68.5) / aromatic(62.9) / warm spicy(61.3),winter(6.7) / spring(10.1) / summer(1.1) / fall(75.7),day(75.7) / night(56.8)
Coco Mademoiselle,citrus(100.0) / woody(63.2) / patchouli(62.4) / sweet(61.7) / white floral(59.4) / rose(52.9) / earthy(49.2) / vanilla(48.5) / warm spicy(48.0) / yellow floral(47.9),winter(11.3) / spring(27.5) / summer(3.1) / fall(69.3),day(85.5) / night(48.1)
Eau de Privé Collection,warm spicy(100.0) / iris(90.3) / musky(89.6) / patchouli(85.2) / powdery(84.9) / woody(79.3) / earthy(76.2) / aromatic(67.5) / chocolate(66.4) / violet(60.1),winter(21.9) / spring(32.1) / summer(3.1) / fall(74.5),day(78.4) / night(29.4)
Winter Palace,citrus(100.0) / vanilla(76.3) / green(72.0) / aromatic(68.5) / amber(67.5) / fresh spicy(63.2) / fresh(60.7) / powdery(44.8),winter(29.7) / spring(17.3) / summer(2.8) / fall(100.0),day(75.8) / night(44.0)
Eau Sauvage,aromatic(100.0) / citrus(92.2) / fresh spicy(79.4) / woody(66.5) / earthy(56.3) / green(47.8) / mossy(47.7) / floral(44.7),winter(9.6) / spring(18.4) / summer(2.1) / fall(18.4),day(90.7) / night(99.7)
Wind Flowers,white floral(100.0) / sweet(66.5) / powdery(63.7) / musky(56.3) / tuberose(48.1) / rose(47.7) / woody(46.9) / iris(46.8) / animalic(45.8),winter(66.7) / spring(48.0) / summer(24.9) / fall(30.0),day(100.0) / night(78.9)
Trésor,fruity(100.0) / powdery(97.1) / floral(79.9) / sweet(70.2) / rose(61.1) / vanilla(60.8) / woody(55.0) / amber(47.3) / lactonic(46.3) / iris(46.0),winter(11.6) / spring(62.3) / summer(5.5) / fall(85.2),day(52.4) / night(29.8)
Cee Intense,powdery(100.0) / violet(91.8) / rose(91.8) / floral(75.3) / ozonic(69.1) / woody(59.9) / aquatic(58.8) / citrus(53.7) / musky(50.6) / amber(50.6),winter(0.0) / spring(0.0) / summer(0.0) / fall(40.0),day(80.0) / night(80.0)
G.E.,woody(100.0) / iris(80.3) / whiskey(70.6) / powdery(64.9) / amber(64.0) / violet(55.1) / warm spicy(52.9) / earthy(50.1) / nutty(47.8),winter(10.2) / spring(6.3) / summer(2.9) / fall(100.0),day(30.2) / night(10.7)
Foujer d'Argent,citrus(100.0) / aromatic(85.3) / lavender(65.0) / fresh spicy(65.0) / warm spicy(47.5) / woody(44.7) / powdery(44.3) / iris(44.0),winter(10.0) / spring(0.0) / summer(0.0) / fall(16.7),day(100.0) / night(100.0)
Wild Bluebell Gift Package,musky(100.0) / powdery(96.7) / green(91.8) / aquatic(82.9) / sweet(68.5) / fruity(63.7) / warm spicy(45.7),winter(30.5) / spring(24.6) / summer(2.8) / fall(11.1),day(100.0) / night(86.0)
Unsung Précieux,musky(100.0) / patchouli(88.3) / powdery(66.8) / woody(59.2) / earthy(52.8) / balsamic(48.4) / warm spicy(45.5),winter(9.1) / spring(100.0) / summer(36.4) / fall(100.0),day(60.0) / night(40.0)
Violet & Amber Absolute,amber(100.0) / woody(89.0) / aldehydic(70.0) / oud(70.0) / earthy(69.0) / white floral(65.0) / rose(65.0) / fresh(57.5) / aromatic(54.7) / fresh spicy(50.5),winter(100.0) / spring(0.0) / summer(100.0) / fall(100.0),day(0.0) / night(0.0)
Issia,woody(100.0) / aromatic(98.7) / sweet(64.5) / tobacco(60.2) / vanilla(51.5) / herbal(51.5) / balsamic(49.9) / earthy(49.8) / musky(47.5) / soft spicy(45.5),winter(17.8) / spring(15.4) / summer(3.0) / fall(49.7),day(79.3) / night(45.9)
Cara Rosa,citrus(100.0) / rose(87.9) / floral(81.9) / aromatic(57.6) / fresh(57.3) / soft spicy(53.8) / musky(53.8) / fresh spicy(52.1) / woody(49.8) / earthy(44.6),winter(31.2) / spring(18.8) / summer(0.0) / fall(13.3),day(100.0) / night(46.7)
Eau de Lancome,sweet(100.0) / floral(92.3) / fruity(88.2) / vanilla(79.2) / rose(69.2) / powdery(50.8) / tropical(47.4) / patchouli(46.7) / soft spicy(46.5),winter(9.0) / spring(28.4) / summer(2.7) / fall(98.5),day(48.9) / night(26.7)
La Vie Belle Rose Extraordinaire,rose(100.0) / citrus(89.0) / woody(80.0) / musky(74.1) / powdery(72.3) / iris(58.7) / amber(58.5) / floral(58.1) / earthy(52.3) / green(50.1),winter(37.4) / spring(20.1) / summer(6.0) / fall(66.7),day(96.5) / night(54.4)
Eau de Pamplemousse Rose,citrus(100.0) / rose(50.4) / fresh spicy(48.4) / aromatic(39.2) / sweet(36.8),winter(8.4) / spring(15.0) / summer(0.9) / fall(6.5),day(61.1) / night(100.0)
Can't Stop Loving You Refill,white floral(100.0) / honey(74.3) / sweet(73.6) / amber(67.1) / mossy(61.9) / vanilla(57.2) / citrus(55.7) / earthy(52.4) / woody(47.7) / animalic(44.7),winter(55.8) / spring(47.9) / summer(12.4) / fall(50.5),day(100.0) / night(68.5)
No. 5 Refill,citrus(100.0) / floral(83.3) / fresh spicy(81.1) / sweet(77.7) / rose(75.2) / aromatic(69.9) / white floral(69.5) / patchouli(68.1) / woody(65.1) / warm spicy(58.6),winter(29.8) / spring(19.1) / summer(0.0) / fall(18.5),day(88.9) / night(92.6)
Eva,citrus(100.0) / woody(86.9) / aromatic(80.2) / fresh spicy(78.8) / warm spicy(58.9) / earthy(52.9),winter(9.5) / spring(28.6) / summer(7.1) / fall(29.4),day(73.5) / night(76.5)
Mimosa & Cardamom,yellow floral(100.0) / warm spicy(88.4) / powdery(76.7) / sweet(68.7) / aromatic(66.9) / floral(61.1) / vanilla(56.8) / amber(49.1),winter(23.1) / spring(21.2) / summer(1.7) / fall(34.1),day(97.0) / night(57.5)
Bois Diris,iris(100.0) / earthy(79.9) / powdery(72.0) / woody(69.5) / violet(65.0) / amber(61.5) / aromatic(55.5) / animalic(48.9) / salty(48.9),winter(13.8) / spring(13.4) / summer(0.8) / fall(60.0),day(78.6) / night(38.3)
Artemisia,powdery(100.0) / musky(67.5) / violet(66.4) / fresh(65.2) / green(62.7) / woody(59.4) / white floral(56.6) / vanilla(55.0) / sweet(49.9) / fruity(48.4),winter(19.0) / spring(32.0) / summer(2.8) / fall(42.9),day(85.4) / night(45.1)
Irresistible Rose Velvet,rose(100.0) / woody(92.7) / fruity(79.3) / iris(75.9) / floral(67.9) / earthy(58.7) / powdery(57.5) / patchouli(55.8) / violet(53.0) / soft spicy(47.3),winter(49.7) / spring(33.8) / summer(4.1) / fall(39.1),day(100.0) / night(63.1)
Zapperano,citrus(100.0) / warm spicy(87.4) / aromatic(84.8) / white floral(77.7) / fresh spicy(73.1) / rose(68.5) / vanilla(67.8) / woody(65.6) / metallic(56.4) / sweet(53.9),winter(29.7) / spring(14.3) / summer(3.8) / fall(48.4),day(100.0) / night(75.2)
Imbré,fresh spicy(100.0) / woody(77.6) / aromatic(59.3) / sweet(55.2) / musky(53.1) / amber(51.0) / powdery(49.3) / fruity(46.0) / balsamic(45.1) / conifer(44.5),winter(16.8) / spring(10.3) / summer(2.8) / fall(92.1),day(41.7) / night(14.6)
La Vie Belle,sweet(100.0) / vanilla(81.9) / fruity(65.6) / patchouli(57.9) / woody(57.3) / white floral(53.5) / powdery(52.8) / iris(48.7) / earthy(48.7) / warm spicy(47.8),winter(22.7) / spring(73.7) / summer(12.5) / fall(100.0),day(54.4) / night(30.4)
All of Me,rose(100.0) / floral(92.3) / musky(88.2) / powdery(78.3) / woody(68.4) / fresh spicy(61.8) / aromatic(59.3) / warm spicy(53.3) / citrus(51.2),winter(69.8) / spring(54.7) / summer(13.4) / fall(38.4),day(100.0) / night(61.2)
Bamboo,citrus(100.0) / green(93.4) / fresh(76.9) / woody(72.1) / fresh spicy(67.2) / aromatic(55.4) / floral(46.8) / earthy(45.0) / yellow floral(44.1),winter(29.4) / spring(25.0) / summer(4.0) / fall(8.7),day(93.0) / night(100.0)
Portrait the Uncompromising Sohan,woody(100.0) / oud(80.8) / warm spicy(73.7) / rose(71.8) / amber(55.9) / metallic(48.5) / animalic(45.2) / powdery(45.2) / leather(44.8),winter(16.7) / spring(18.2) / summer(5.2) / fall(100.0),day(29.0) / night(14.7)
Musk Therapy Extrait de Parfum,citrus(100.0) / woody(58.3) / floral(58.2) / musky(56.4) / patchouli(56.4) / fresh spicy(52.6) / powdery(49.3) / white floral(48.7) / warm spicy(45.4) / aromatic(44.7),winter(0.0) / spring(28.1) / summer(0.0) / fall(40.0),day(93.3) / night(93.3)
Rose Gold Intense,sweet(100.0) / fruity(79.0) / woody(71.3) / rose(64.4) / patchouli(63.9) / iris(59.2) / white floral(59.2) / earthy(55.2) / citrus(50.8) / soft spicy(50.4),winter(56.4) / spring(32.7) / summer(9.1) / fall(78.3),day(93.5) / night(65.2)
Portrait Terrible Teddy,amber(100.0) / smoky(64.7) / leather(58.0) / musky(54.2) / balsamic(46.5),winter(35.1) / spring(18.9) / summer(5.4) / fall(91.5),day(51.5) / night(23.1)
Patchouli 24,leather(100.0) / woody(87.8) / smoky(86.0) / amber(72.9) / vanilla(68.8) / patchouli(65.3) / balsamic(59.3) / warm spicy(52.0) / earthy(44.1),winter(18.2) / spring(43.5) / summer(14.3) / fall(98.3),day(23.9) / night(16.1)
Moon Fever,citrus(100.0) / aromatic(68.9) / leather(43.6) / fresh(41.7) / fresh spicy(40.1),winter(27.1) / spring(31.2) / summer(3.3) / fall(18.0),day(90.1) / night(93.8)
Annie Extrait de Parfum,sweet(100.0) / vanilla(68.6) / fruity(62.3) / white floral(62.1) / iris(58.0) / woody(53.5) / powdery(53.5) / earthy(48.7) / patchouli(48.7) / amber(44.4),winter(7.7) / spring(100.0) / summer(11.5) / fall(100.0),day(41.7) / night(37.5)
Le Homme,aromatic(100.0) / fresh spicy(80.0) / warm spicy(78.0) / woody(72.0) / vanilla(64.0) / citrus(60.0) / amber(60.0) / herbal(55.0) / powdery(55.0) / green(52.0),winter(0.0) / spring(0.0) / summer(0.0) / fall(0.0),day(0.0) / night(0.0)
L'Antérieur Rouge Ultim,floral(100.0) / powdery(80.0) / woody(70.0) / iris(63.3) / vanilla(53.3) / earthy(50.0) / almond(46.7) / sweet(46.7) / violet(46.7),winter(0.0) / spring(0.0) / summer(0.0) / fall(0.0),day(0.0) / night(0.0)
